system:time_start,p25,Median,IQR,Left date,Right date
"Aug 27, 2021",23.971,26.365,28.897,,
"Sep 5, 2021",25.172,30.645,36.27,,
"Sep 14, 2021",26.38,32.63,39.785,,
"Sep 23, 2021",26.429,31.382,36.602,,
"Oct 2, 2021",28.69,33.67,38.802,,
"Oct 11, 2021",27.02,33.753,40.223,,
"Oct 20, 2021",33.441,41.129,51.588,,
"Oct 29, 2021",27.131,34.882,42.78,,
"Nov 7, 2021",32.26,38.911,46.863,,
"Nov 16, 2021",29.076,34.339,40.177,,
"Nov 25, 2021",33.018,42.299,51.501,,
"Dec 4, 2021",36.895,43.343,52.263,,
"Dec 13, 2021",34.885,40.464,46.357,,
"Dec 22, 2021",30.41,35.167,41.012,,
"Dec 31, 2021",32.996,34.339,35.682,,
"Jan 9, 2022",25.648,29.237,32.615,,
"Jan 18, 2022",21.626,27.715,37.19,,
"Jan 27, 2022",26.804,32.447,37.887,,
"Feb 5, 2022",25.701,30.843,37.237,,
"Feb 14, 2022",21.773,26.614,31.823,,
"Feb 23, 2022",27.602,35.008,44.032,,
"Mar 4, 2022",29.804,34.893,40.339,,
"Mar 13, 2022",34.073,41.096,49.676,,
"Mar 22, 2022",34.817,41.315,49.997,,
"Mar 31, 2022",37.973,45.232,53.412,,
"Apr 9, 2022",46.522,52.148,59.362,,
"Apr 18, 2022",42.235,47.686,53.902,,
"Apr 27, 2022",41.026,48.5,57.241,,
"May 6, 2022",41.546,51.169,73.631,,
"May 15, 2022",39.383,44.873,51.147,,
"May 24, 2022",35.311,41.841,50.612,,
"Jun 2, 2022",49.894,57.16,65.418,,
"Jun 11, 2022",49.064,55.232,62.552,,
"Jun 20, 2022",50.453,55.482,61.185,,
"Jun 29, 2022",41.952,42.149,42.345,,
"Jul 8, 2022",29.058,32.723,36.477,,
"Jul 17, 2022",31.421,34.804,38.465,,
"Jul 26, 2022",28.262,32.442,37.882,,
"Aug 4, 2022",27.793,30.368,33.346,,
"Aug 13, 2022",22.472,24.921,27.424,,
"Aug 22, 2022",29.679,32.005,34.385,,
"Aug 31, 2022",33.359,34.963,36.762,,
"Sep 9, 2022",24.084,27.066,30.063,,
"Sep 18, 2022",25.2,26.848,28.732,,
"Sep 27, 2022",23.95,29.05,34.936,,
"Oct 6, 2022",19.846,25.332,32.182,,
"Oct 15, 2022",21.739,27.127,32.122,,
"Oct 24, 2022",23.374,28.858,34.764,,
"Nov 2, 2022",26.535,31.797,37.648,,
"Nov 11, 2022",30.664,39.769,48.906,,
"Nov 20, 2022",36.734,42.223,48.716,,
"Nov 29, 2022",34.991,40.963,48.025,,
"Dec 8, 2022",38.613,45.008,52.68,,
"Dec 17, 2022",40.441,46.256,52.552,,
"Dec 26, 2022",39.213,45.633,55.451,,
"Jan 4, 2023",29.66,33.383,37.282,,
"Jan 13, 2023",36.305,42.586,51.975,,
"Jan 22, 2023",31.301,41.903,53.885,,
"Jan 31, 2023",33.142,39.652,48.07,,
"Feb 9, 2023",35.08,43.411,53.519,,
"Feb 18, 2023",30.101,38.433,47.618,,
"Feb 27, 2023",26.334,32.953,41.063,,
"Mar 8, 2023",29.226,34.811,40.379,,
"Mar 17, 2023",30.206,33.154,37.513,,
"Mar 26, 2023",28.468,35.362,43.392,,
"Apr 4, 2023",25.079,31.457,39.136,,
"Apr 13, 2023",37.099,44.196,50.885,,
"Apr 22, 2023",42.753,50.822,60.65,,
"May 1, 2023",42.189,51.288,73.175,,
"May 10, 2023",47.158,53.191,59.288,,
"May 19, 2023",36.894,45.94,54.455,,
"May 28, 2023",35.801,44.114,53.949,,
"Jun 6, 2023",35.309,51.047,59.471,,
"Jun 15, 2023",29.427,39.94,49.257,,
"Jun 24, 2023",43.982,53.885,64.63,,
"Jul 3, 2023",28.341,31.197,33.384,,
"Jul 12, 2023",30.663,35.222,39.815,,
"Jul 21, 2023",20.205,24.091,27.802,,
"Jul 30, 2023",19.835,23.474,27.424,,
"Aug 8, 2023",39.244,39.244,39.244,,
"Aug 17, 2023",19.134,24.39,29.333,,
"Aug 26, 2023",21.733,25.859,29.712,,
"Sep 4, 2023",26.323,31.96,42.736,,
"Sep 13, 2023",19.027,24.709,29.936,,
"Sep 22, 2023",22.563,25.82,28.891,,
"Oct 1, 2023",27.682,30.197,32.8,,
"Oct 10, 2023",28.386,34.413,41.044,,
"Oct 19, 2023",26.346,31.765,37.299,,
"Oct 28, 2023",26.143,32.061,40.453,,
"Nov 6, 2023",26.238,32.272,38.855,,
"Nov 15, 2023",29.663,35.105,40.542,,
"Nov 24, 2023",38.688,44.124,49.531,,
"Dec 3, 2023",38.404,46.553,65.073,,
"Dec 12, 2023",36.175,43.259,50.372,,
"Dec 21, 2023",37.747,44.17,51.298,,
"Dec 30, 2023",30.422,31.915,33.408,,
"Jan 8, 2024",31.887,40.069,54.516,,
"Jan 17, 2024",27.874,29.415,31.913,,
"Jan 26, 2024",21.85,26.743,33.898,,
"Feb 4, 2024",28.055,33.371,39.696,,
"Feb 13, 2024",28.387,35.367,40.933,,
"Feb 22, 2024",24.077,30.463,37.627,,
"Mar 2, 2024",22.138,29.005,35.633,,
"Mar 11, 2024",27.024,32.668,39.737,,
"Mar 20, 2024",22.148,27.358,32.804,,
"Mar 29, 2024",27.208,33.807,41.51,,
"Apr 7, 2024",32.801,40.559,49.397,,
"Apr 16, 2024",26.126,43.822,53.717,,
"Apr 25, 2024",33.914,40.882,49.341,,
"May 4, 2024",48.958,55.838,62.823,,
"May 13, 2024",46.283,52.683,60.323,,
"May 22, 2024",51.055,60.99,71.854,,
"May 31, 2024",53.331,64.574,75.878,,
"Jun 9, 2024",49.295,54.909,61.02,,
"Jun 18, 2024",55.208,59.842,65.404,,
"Jun 27, 2024",43.508,46.272,49.319,,
"Jul 6, 2024",28.845,29.334,29.778,,
"Jul 15, 2024",19.442,23.696,28.056,,
"Jul 24, 2024",20.764,25.078,28.825,,
"Aug 2, 2024",24.258,29.064,35.742,,
"Aug 11, 2024",26.997,27.899,29.019,,
"Aug 20, 2024",24.231,30.534,38.561,,
"Aug 29, 2024",20.881,24.457,28.062,,
"Sep 7, 2024",22.598,26.972,31.669,,
"Sep 16, 2024",25.267,31.034,39.994,,
"Sep 25, 2024",22.931,33.327,47.102,,
"Oct 4, 2024",24.496,28.398,32.175,,
"Oct 13, 2024",26.479,32.04,36.676,,
"Oct 22, 2024",22.65,27.658,34.623,,
"Oct 31, 2024",28.564,34.838,43.911,,
"Nov 9, 2024",33.247,34.955,37.491,,
"Nov 18, 2024",33.059,37.852,43.328,,
"Nov 27, 2024",36.542,40.499,45.418,,
"Dec 6, 2024",45.741,51.143,56.678,,
"Dec 15, 2024",40.049,45.607,51.495,,
"Dec 24, 2024",27.058,30.912,36.739,,
"Jan 2, 2025",29.868,30.102,30.335,,
"Jan 11, 2025",28.385,31.555,35.108,,
"Jan 20, 2025",32.963,38.359,44.422,,
"Jan 29, 2025",29.171,34.057,40.565,,
"Feb 7, 2025",29.754,36.661,45.028,,
"Feb 16, 2025",34.815,41.004,47.702,,
"Feb 25, 2025",32.103,37.043,42.015,,
